slice_id,group,mouse,region_idx,label,window_kind,stream,detector,variant,min_participants,n_calls,calls_per_hour,hours,n_roi,own_floor,baseline_floor,own_chance_floor,own_floor_stable,win_start,win_end
20240813b42,OVX,41,2,senktide,treatment,slow,coact,tuned,6,14,42.0,0.3333333333333333,37,11,5,11,True,1860.0,3060.0
20240813b42,OVX,41,2,senktide,treatment,slow,coact,own_floor,11,6,18.0,0.3333333333333333,37,11,5,11,True,1860.0,3060.0
20240813b42,OVX,41,2,senktide,treatment,slow,coact,baseline_floor,5,14,42.0,0.3333333333333333,37,11,5,11,True,1860.0,3060.0
20240813b42,OVX,41,2,senktide,treatment,slow,chorus_norm,unfloored,0,5,15.0,0.3333333333333333,37,11,5,11,True,1860.0,3060.0
20240813b42,OVX,41,2,senktide,treatment,slow,chorus_norm,own_floor,11,3,9.0,0.3333333333333333,37,11,5,11,True,1860.0,3060.0
20240813b42,OVX,41,2,senktide,treatment,slow,chorus_norm,baseline_floor,5,5,15.0,0.3333333333333333,37,11,5,11,True,1860.0,3060.0
20240813b42,OVX,41,2,senktide,treatment,slow,chorus_gain_norm,unfloored,0,1,3.0,0.3333333333333333,37,11,5,11,True,1860.0,3060.0
20240813b42,OVX,41,2,senktide,treatment,slow,chorus_gain_norm,own_floor,11,0,0.0,0.3333333333333333,37,11,5,11,True,1860.0,3060.0
20240813b42,OVX,41,2,senktide,treatment,slow,chorus_gain_norm,baseline_floor,5,1,3.0,0.3333333333333333,37,11,5,11,True,1860.0,3060.0
20240813b42,OVX,41,2,senktide,treatment,combined,coact,tuned,4,16,48.0,0.3333333333333333,37,30,6,30,True,1860.0,3060.0
20240813b42,OVX,41,2,senktide,treatment,combined,coact,own_floor,30,5,15.0,0.3333333333333333,37,30,6,30,True,1860.0,3060.0
20240813b42,OVX,41,2,senktide,treatment,combined,coact,baseline_floor,6,16,48.0,0.3333333333333333,37,30,6,30,True,1860.0,3060.0
20240813b42,OVX,41,2,senktide,treatment,combined,chorus_norm,unfloored,0,22,66.0,0.3333333333333333,37,30,6,30,True,1860.0,3060.0
20240813b42,OVX,41,2,senktide,treatment,combined,chorus_norm,own_floor,30,2,6.0,0.3333333333333333,37,30,6,30,True,1860.0,3060.0
20240813b42,OVX,41,2,senktide,treatment,combined,chorus_norm,baseline_floor,6,22,66.0,0.3333333333333333,37,30,6,30,True,1860.0,3060.0
20240813b42,OVX,41,2,senktide,treatment,combined,chorus_gain_norm,unfloored,0,12,36.0,0.3333333333333333,37,30,6,30,True,1860.0,3060.0
20240813b42,OVX,41,2,senktide,treatment,combined,chorus_gain_norm,own_floor,30,0,0.0,0.3333333333333333,37,30,6,30,True,1860.0,3060.0
20240813b42,OVX,41,2,senktide,treatment,combined,chorus_gain_norm,baseline_floor,6,11,33.0,0.3333333333333333,37,30,6,30,True,1860.0,3060.0
20240813b42,OVX,41,3,high K+,treatment,fast,coact,tuned,3,3,45.01673121843625,0.06664188888888879,37,27,5,27,True,3960.0,4199.9108
