slice_id,group,region_idx,stream,dt,hours,n_roi,floor,n_events,note
20240813b42,OVX,1,fast,0.1,0.3333333333333333,37,5,1,
20240813b42,OVX,1,slow,0.1,0.3333333333333333,37,5,0,
20240813b42,OVX,1,combined,0.1,0.3333333333333333,37,6,1,
20240814a47,OVX,1,fast,0.1,0.3333333333333333,17,5,0,
20240814a47,OVX,1,slow,0.1,0.3333333333333333,17,4,0,
20240814a47,OVX,1,combined,0.1,0.3333333333333333,17,5,1,
20240814b49,OVX,1,fast,0.1,0.3333333333333333,43,6,0,
20240814b49,OVX,1,slow,0.1,0.3333333333333333,43,5,0,
20240814b49,OVX,1,combined,0.1,0.3333333333333333,43,7,0,
20240827a55,MALE,1,fast,0.1,0.3333333333333333,29,3,2,
20240827a55,MALE,1,slow,0.1,0.3333333333333333,29,3,2,
20240827a55,MALE,1,combined,0.1,0.3333333333333333,29,4,2,
20240827b57,MALE,1,fast,0.1,0.3333333333333333,36,6,0,
20240827b57,MALE,1,slow,0.1,0.3333333333333333,36,4,0,
20240827b57,MALE,1,combined,0.1,0.3333333333333333,36,6,0,
20240930_65,DI,1,fast,0.1,0.3333333333333333,53,6,4,
20240930_65,DI,1,slow,0.1,0.3333333333333333,53,12,14,
20240930_65,DI,1,combined,0.1,0.3333333333333333,53,13,14,
20240930_69,DI,1,fast,0.1,0.3333333333333333,19,7,8,
20240930_69,DI,1,slow,0.1,0.3333333333333333,19,9,26,
20240930_69,DI,1,combined,0.1,0.3333333333333333,19,10,28,
20241002_72,OVX,1,fast,0.1,0.3333333333333333,19,3,0,
20241002_72,OVX,1,slow,0.1,0.3333333333333333,19,3,0,
20241002_72,OVX,1,combined,0.1,0.3333333333333333,19,3,0,
20241122b_110,ORX,1,fast,0.1,0.3333333333333333,25,3,0,
20241122b_110,ORX,1,slow,0.1,0.3333333333333333,25,3,0,
20241122b_110,ORX,1,combined,0.1,0.3333333333333333,25,3,0,
20241211_127,MALE,1,fast,0.1,0.3333333333333333,45,8,6,
20241211_127,MALE,1,slow,0.1,0.3333333333333333,45,14,19,
20241211_127,MALE,1,combined,0.1,0.3333333333333333,45,15,20,
20241212_131,ORX,1,fast,0.1,0.3333333333333333,33,4,0,
20241212_131,ORX,1,slow,0.1,0.3333333333333333,33,4,2,
20241212_131,ORX,1,combined,0.1,0.3333333333333333,33,5,2,
20250731_151,DI,1,fast,0.1,0.3333333333333333,38,10,5,
20250731_151,DI,1,slow,0.1,0.3333333333333333,38,7,5,
20250731_151,DI,1,combined,0.1,0.3333333333333333,38,11,13,
20250806_174,ORX,1,fast,0.1,0.3333333333333333,36,6,8,
20250806_174,ORX,1,slow,0.1,0.3333333333333333,36,10,10,
20250806_174,ORX,1,combined,0.1,0.3333333333333333,36,11,12,
20250806_176,ORX,1,fast,0.1,0.3333333333333333,19,4,0,
20250806_176,ORX,1,slow,0.1,0.3333333333333333,19,3,0,
20250806_176,ORX,1,combined,0.1,0.3333333333333333,19,4,0,
20250807_178,MALE,1,fast,0.1,0.3333333333333333,46,5,3,
20250807_178,MALE,1,slow,0.1,0.3333333333333333,46,5,2,
20250807_178,MALE,1,combined,0.1,0.3333333333333333,46,7,3,
20250807_181,MALE,1,fast,0.1,0.3333333333333333,32,9,1,
20250807_181,MALE,1,slow,0.1,0.3333333333333333,32,8,5,
20250807_181,MALE,1,combined,0.1,0.3333333333333333,32,11,4,
20250808_183,ORX,1,fast,0.1,0.3333333333333333,61,5,0,
20250808_183,ORX,1,slow,0.1,0.3333333333333333,61,5,0,
20250808_183,ORX,1,combined,0.1,0.3333333333333333,61,6,1,
20250808_186,ORX,1,fast,0.1,0.3333333333333333,35,3,0,
20250808_186,ORX,1,slow,0.1,0.3333333333333333,35,5,1,
20250808_186,ORX,1,combined,0.1,0.3333333333333333,35,6,1,
20250826_190,MALE,1,fast,0.1,0.2833333333333333,15,3,2,
20250826_190,MALE,1,slow,0.1,0.2833333333333333,15,3,2,
20250826_190,MALE,1,combined,0.1,0.2833333333333333,15,3,3,
20250826_192,MALE,1,fast,0.1,0.31666666666666665,30,6,3,
20250826_192,MALE,1,slow,0.1,0.31666666666666665,30,8,9,
20250826_192,MALE,1,combined,0.1,0.31666666666666665,30,9,10,
20250827_196,MALE,1,fast,0.1,0.3333333333333333,27,5,4,
20250827_196,MALE,1,slow,0.1,0.3333333333333333,27,9,11,
20250827_196,MALE,1,combined,0.1,0.3333333333333333,27,10,14,
20250827_199,MALE,1,fast,0.1,0.3333333333333333,48,9,23,
20250827_199,MALE,1,slow,0.1,0.3333333333333333,48,16,49,
20250827_199,MALE,1,combined,0.1,0.3333333333333333,48,18,52,
20250829_204,OVX,1,fast,0.1,0.3333333333333333,32,9,12,
20250829_204,OVX,1,slow,0.1,0.3333333333333333,32,11,36,
20250829_204,OVX,1,combined,0.1,0.3333333333333333,32,13,38,
20250829_207,OVX,1,fast,0.1,0.31666666666666665,53,10,0,
20250829_207,OVX,1,slow,0.1,0.31666666666666665,53,5,1,
20250829_207,OVX,1,combined,0.1,0.31666666666666665,53,10,0,
20250904_209,OVX,1,fast,0.1,0.31666666666666665,23,10,1,
20250904_209,OVX,1,slow,0.1,0.31666666666666665,23,6,4,
20250904_209,OVX,1,combined,0.1,0.31666666666666665,23,10,3,
20250904_211,OVX,1,fast,0.1,0.3333333333333333,45,4,0,
20250904_211,OVX,1,slow,0.1,0.3333333333333333,45,3,0,
20250904_211,OVX,1,combined,0.1,0.3333333333333333,45,4,0,
20250911_214,ORX,1,fast,0.1,0.3333333333333333,20,4,1,
20250911_214,ORX,1,slow,0.1,0.3333333333333333,20,6,3,
20250911_214,ORX,1,combined,0.1,0.3333333333333333,20,6,3,
20250911_217,ORX,1,fast,0.1,0.3333333333333333,32,4,0,
20250911_217,ORX,1,slow,0.1,0.3333333333333333,32,4,0,
20250911_217,ORX,1,combined,0.1,0.3333333333333333,32,5,0,
20250911_222,ORX,1,fast,0.1,0.3333333333333333,34,5,1,
20250911_222,ORX,1,slow,0.1,0.3333333333333333,34,5,2,
20250911_222,ORX,1,combined,0.1,0.3333333333333333,34,6,3,
20250912_225,ORX,1,fast,0.1,0.3333333333333333,45,4,1,
20250912_225,ORX,1,slow,0.1,0.3333333333333333,45,4,0,
20250912_225,ORX,1,combined,0.1,0.3333333333333333,45,5,1,
20250912_227,ORX,1,fast,0.1,0.3333333333333333,17,3,1,
20250912_227,ORX,1,slow,0.1,0.3333333333333333,17,3,1,
20250912_227,ORX,1,combined,0.1,0.3333333333333333,17,4,1,
20250912_229,ORX,1,fast,0.1,0.31666666666666665,55,7,0,
20250912_229,ORX,1,slow,0.1,0.31666666666666665,55,4,0,
20250912_229,ORX,1,combined,0.1,0.31666666666666665,55,8,0,
20250925_231,DI,1,fast,0.1,0.3333333333333333,20,11,8,
20250925_231,DI,1,slow,0.1,0.3333333333333333,20,7,11,
20250925_231,DI,1,combined,0.1,0.3333333333333333,20,12,14,
20250925_233,DI,1,fast,0.1,0.3333333333333333,27,12,4,
20250925_233,DI,1,slow,0.1,0.3333333333333333,27,7,4,
20250925_233,DI,1,combined,0.1,0.3333333333333333,27,13,7,
20250926_235,DI,1,fast,0.1,0.3333333333333333,23,7,2,
20250926_235,DI,1,slow,0.1,0.3333333333333333,23,5,3,
20250926_235,DI,1,combined,0.1,0.3333333333333333,23,8,4,
20250926_237,DI,1,fast,0.1,0.3333333333333333,39,10,8,
20250926_237,DI,1,slow,0.1,0.3333333333333333,39,6,4,
20250926_237,DI,1,combined,0.1,0.3333333333333333,39,10,13,
20260115_240,ORX,1,fast,0.1,0.31666666666666665,32,5,0,
20260115_240,ORX,1,slow,0.1,0.31666666666666665,32,4,0,
20260115_240,ORX,1,combined,0.1,0.31666666666666665,32,5,0,
20260115_243,ORX,1,fast,0.1,0.31666666666666665,43,10,0,
20260115_243,ORX,1,slow,0.1,0.31666666666666665,43,8,5,
20260115_243,ORX,1,combined,0.1,0.31666666666666665,43,12,2,
20260120_248,MALE,1,fast,0.1,0.3333333333333333,31,4,0,
20260120_248,MALE,1,slow,0.1,0.3333333333333333,31,7,4,
20260120_248,MALE,1,combined,0.1,0.3333333333333333,31,7,5,
20260121_250,ORX,1,fast,0.1,0.3333333333333333,34,3,0,
20260121_250,ORX,1,slow,0.1,0.3333333333333333,34,3,0,
20260121_250,ORX,1,combined,0.1,0.3333333333333333,34,4,0,
20260121_252,ORX,1,fast,0.1,0.3333333333333333,27,3,0,
20260121_252,ORX,1,slow,0.1,0.3333333333333333,27,3,0,
20260121_252,ORX,1,combined,0.1,0.3333333333333333,27,3,0,
20260122_256,OVX,1,fast,0.1,0.3333333333333333,36,8,0,
20260122_256,OVX,1,slow,0.1,0.3333333333333333,36,5,2,
20260122_256,OVX,1,combined,0.1,0.3333333333333333,36,9,0,
20260122_259,OVX,1,fast,0.1,0.31666666666666665,37,4,0,
20260122_259,OVX,1,slow,0.1,0.31666666666666665,37,4,0,
20260122_259,OVX,1,combined,0.1,0.31666666666666665,37,5,0,
20260130_270,DI,1,fast,0.1,0.3333333333333333,48,8,4,
20260130_270,DI,1,slow,0.1,0.3333333333333333,48,10,10,
20260130_270,DI,1,combined,0.1,0.3333333333333333,48,11,11,
20260130_272,DI,1,fast,0.1,0.3333333333333333,28,7,0,
20260130_272,DI,1,slow,0.1,0.3333333333333333,28,5,4,
20260130_272,DI,1,combined,0.1,0.3333333333333333,28,8,4,
20260225_275,ORX,1,fast,0.1,0.3333333333333333,29,3,0,
20260225_275,ORX,1,slow,0.1,0.3333333333333333,29,3,0,
20260225_275,ORX,1,combined,0.1,0.3333333333333333,29,3,1,
20260225_277,ORX,1,fast,0.1,0.3333333333333333,26,5,1,
20260225_277,ORX,1,slow,0.1,0.3333333333333333,26,3,0,
20260225_277,ORX,1,combined,0.1,0.3333333333333333,26,5,1,
20260225_280,ORX,1,fast,0.1,0.3333333333333333,15,3,0,
20260225_280,ORX,1,slow,0.1,0.3333333333333333,15,3,0,
20260225_280,ORX,1,combined,0.1,0.3333333333333333,15,3,0,
20260226_282,OVX,1,fast,0.1,0.3333333333333333,16,5,0,
20260226_282,OVX,1,slow,0.1,0.3333333333333333,16,3,0,
20260226_282,OVX,1,combined,0.1,0.3333333333333333,16,5,0,
20260226_285,OVX,1,fast,0.1,0.31666666666666665,27,3,1,
20260226_285,OVX,1,slow,0.1,0.31666666666666665,27,3,0,
20260226_285,OVX,1,combined,0.1,0.31666666666666665,27,4,0,
20260226_287,OVX,1,fast,0.1,0.3333333333333333,15,9,0,
20260226_287,OVX,1,slow,0.1,0.3333333333333333,15,5,0,
20260226_287,OVX,1,combined,0.1,0.3333333333333333,15,9,0,
20260303_290,DI,1,fast,0.1,0.3333333333333333,33,8,16,
20260303_290,DI,1,slow,0.1,0.3333333333333333,33,10,32,
20260303_290,DI,1,combined,0.1,0.3333333333333333,33,12,35,
20260303_296,DI,1,fast,0.1,0.3333333333333333,51,13,23,
20260303_296,DI,1,slow,0.1,0.3333333333333333,51,16,49,
20260303_296,DI,1,combined,0.1,0.3333333333333333,51,19,51,
20260303_301,DI,1,fast,0.1,0.3333333333333333,24,10,4,
20260303_301,DI,1,slow,0.1,0.3333333333333333,24,6,8,
20260303_301,DI,1,combined,0.1,0.3333333333333333,24,11,10,
20260629_309,DI,1,fast,0.1,0.3333333333333333,21,6,2,
20260629_309,DI,1,slow,0.1,0.3333333333333333,21,6,6,
20260629_309,DI,1,combined,0.1,0.3333333333333333,21,7,6,
20260629_312,DI,1,fast,0.1,0.3333333333333333,21,6,10,
20260629_312,DI,1,slow,0.1,0.3333333333333333,21,9,32,
20260629_312,DI,1,combined,0.1,0.3333333333333333,21,9,39,
20260629_314,DI,1,fast,0.1,0.3333333333333333,14,8,1,
20260629_314,DI,1,slow,0.1,0.3333333333333333,14,5,5,
20260629_314,DI,1,combined,0.1,0.3333333333333333,14,8,5,
20260630_316,DI,1,fast,0.1,0.3333333333333333,34,9,7,
20260630_316,DI,1,slow,0.1,0.3333333333333333,34,12,29,
20260630_316,DI,1,combined,0.1,0.3333333333333333,34,14,30,
20260630_325,DI,1,fast,0.1,0.3333333333333333,19,8,10,
20260630_325,DI,1,slow,0.1,0.3333333333333333,19,10,33,
20260630_325,DI,1,combined,0.1,0.3333333333333333,19,11,36,
20260701_328,OVX,1,fast,0.1,0.3333333333333333,25,4,0,
20260701_328,OVX,1,slow,0.1,0.3333333333333333,25,3,0,
20260701_328,OVX,1,combined,0.1,0.3333333333333333,25,4,0,
20260701_331,OVX,1,fast,0.1,0.3333333333333333,26,5,0,
20260701_331,OVX,1,slow,0.1,0.3333333333333333,26,3,0,
20260701_331,OVX,1,combined,0.1,0.3333333333333333,26,5,0,
20260702_334,OVX,1,fast,0.1,0.3333333333333333,36,13,4,
20260702_334,OVX,1,slow,0.1,0.3333333333333333,36,8,3,
20260702_334,OVX,1,combined,0.1,0.3333333333333333,36,13,8,
20260702_338,OVX,1,fast,0.1,0.3333333333333333,46,5,0,
20260702_338,OVX,1,slow,0.1,0.3333333333333333,46,4,0,
20260702_338,OVX,1,combined,0.1,0.3333333333333333,46,6,0,
20260706_341,MALE,1,fast,0.1,0.3333333333333333,33,8,13,
20260706_341,MALE,1,slow,0.1,0.3333333333333333,33,10,22,
20260706_341,MALE,1,combined,0.1,0.3333333333333333,33,12,24,
20260706_343,MALE,1,fast,0.1,0.3333333333333333,44,13,4,
20260706_343,MALE,1,slow,0.1,0.3333333333333333,44,9,7,
20260706_343,MALE,1,combined,0.1,0.3333333333333333,44,14,11,
20260707_348,MALE,1,fast,0.1,0.3333333333333333,30,4,3,
20260707_348,MALE,1,slow,0.1,0.3333333333333333,30,7,4,
20260707_348,MALE,1,combined,0.1,0.3333333333333333,30,7,5,
